metric,method,term,estimate,standard_error,ci95_low,ci95_high,p,q,significant_q_0.05
Val_MAE,OLS with split-clustered robust covariance,C(branch)[T.USB],-0.09278984963893915,0.07212803165180674,-0.2341581939522454,0.04857849467436713,0.19828246354205248,0.4575749158662749,False
Val_MAE,OLS with split-clustered robust covariance,C(attention)[T.WMHA],-0.5497019693255422,0.117326549790206,-0.7796577813446913,-0.319746157306393,2.7964457662748125e-06,9.32148588758271e-06,True
Val_MAE,OLS with split-clustered robust covariance,C(aggregation)[T.AWA],-0.0010528415441510286,0.041235038243905536,-0.08187203140333764,0.07976634831503558,0.9796300722838153,0.9967351103461481,False
Val_MAE,OLS with split-clustered robust covariance,C(training)[T.MORM],-0.8161100730299953,0.07498381095672975,-0.9630756419287455,-0.669144504131245,1.3767459563245238e-27,2.065118934486786e-26,True
Val_MAE,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(attention)[T.WMHA],-0.01999223828315768,0.04484664839974567,-0.10789005397399004,0.0679055774076747,0.6557481261304122,0.7870211685878847,False
Val_MAE,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(aggregation)[T.AWA],-0.031612136960029596,0.028638499227218433,-0.0877425640166559,0.0245182900965967,0.2696653378616233,0.5056225084905437,False
Val_MAE,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(training)[T.MORM],-0.0005425274372104077,0.0708399224612735,-0.1393862241289165,0.1383011692544957,0.993889462051535,0.9967351103461481,False
Val_MAE,OLS with split-clustered robust covariance,C(attention)[T.WMHA]:C(aggregation)[T.AWA],-0.044741815328598056,0.037857281371828436,-0.11894072336998088,0.029457092712784766,0.23726326044816293,0.5056225084905437,False
Val_MAE,OLS with split-clustered robust covariance,C(attention)[T.WMHA]:C(training)[T.MORM],0.718204030394554,0.08686083858484968,0.5479599151013016,0.8884481456878065,1.357179619183463e-16,8.143077715100778e-16,True
Val_MAE,OLS with split-clustered robust covariance,C(aggregation)[T.AWA]:C(training)[T.MORM],0.009048855304717031,0.03678492860037709,-0.06304827992589945,0.0811459905353335,0.8056872227009784,0.9296391031165134,False
Val_R2,OLS with split-clustered robust covariance,C(branch)[T.USB],0.014125935733318539,0.007780017134845243,-0.0011226176500826381,0.029374489116719714,0.06942116603893976,0.2082634981168193,False
Val_R2,OLS with split-clustered robust covariance,C(attention)[T.WMHA],0.06980651021003736,0.011145614221658337,0.0479615077500096,0.09165151267006513,3.7730854761193326e-10,1.617036632622571e-09,True
Val_R2,OLS with split-clustered robust covariance,C(aggregation)[T.AWA],-0.004328644275665067,0.005846349469275914,-0.015787278676480717,0.007129990125150584,0.45905657918451603,0.6797118634879612,False
Val_R2,OLS with split-clustered robust covariance,C(training)[T.MORM],0.08458558171987515,0.008257721022247162,0.06840074592189144,0.10077041751785887,1.269512047941991e-24,1.269512047941991e-23,True
Val_R2,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(attention)[T.WMHA],-0.0022641465067867184,0.0050805626432011575,-0.012221866308660609,0.007693573295087172,0.6558509738232373,0.7870211685878847,False
Val_R2,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(aggregation)[T.AWA],0.003949888050556428,0.0039955341267195145,-0.0038812149368145166,0.011780991037927374,0.32287076740570353,0.5381179456761725,False
Val_R2,OLS with split-clustered robust covariance,C(branch)[T.USB]:C(training)[T.MORM],-0.008133961260318661,0.005972258495102445,-0.019839372817082836,0.0035714502964455143,0.17321135031905766,0.43302837579764414,False
Val_R2,OLS with split-clustered robust covariance,C(attention)[T.WMHA]:C(aggregation)[T.AWA],-0.00012640506029122298,0.005573332150375706,-0.011049935348906779,0.010797125228324333,0.9819052593276211,0.9967351103461481,False
Val_R2,OLS with split-clustered robust covariance,C(attention)[T.WMHA]:C(training)[T.MORM],-0.07182768434286115,0.0088805904893706,-0.08923332186347646,-0.054422046822245836,6.057013934870328e-16,3.028506967435164e-15,True
Val_R2,OLS with split-clustered robust covariance,C(aggregation)[T.AWA]:C(training)[T.MORM],0.0031968370079989775,0.002852817291505208,-0.0023945821378243354,0.00878825615382229,0.2624626505604297,0.5056225084905437,False
