checkpoint,cohort,PMI,animal_within_PMI,organ,AWA_weight
fold5.pth,modeled_time_test,24.0,3,Brain,0.14248709380626678
fold5.pth,modeled_time_test,24.0,6,Brain,0.142145574092865
fold5.pth,unseen_time_test,0.33333,1,Brain,0.14284174144268036
fold5.pth,unseen_time_test,0.33333,2,Brain,0.14284805953502655
fold5.pth,unseen_time_test,4.0,1,Brain,0.14284895360469818
fold5.pth,unseen_time_test,4.0,2,Brain,0.14284983277320862
fold5.pth,unseen_time_test,11.0,1,Brain,0.1428488940000534
fold5.pth,unseen_time_test,11.0,2,Brain,0.1428416669368744
fold5.pth,unseen_time_test,20.0,1,Brain,0.14284707605838776
fold5.pth,unseen_time_test,20.0,2,Brain,0.12500198185443878
fold6.pth,modeled_time_test,0.5,2,Brain,0.13964176177978516
fold6.pth,modeled_time_test,0.5,3,Brain,0.12500381469726562
fold6.pth,modeled_time_test,1.0,4,Brain,0.1388586312532425
fold6.pth,modeled_time_test,1.0,8,Brain,0.13789835572242737
fold6.pth,modeled_time_test,2.0,7,Brain,0.13174830377101898
fold6.pth,modeled_time_test,2.0,8,Brain,0.14142769575119019
fold6.pth,modeled_time_test,3.0,1,Brain,0.1252964437007904
fold6.pth,modeled_time_test,3.0,8,Brain,0.13944122195243835
fold6.pth,modeled_time_test,6.0,1,Brain,0.1268797069787979
fold6.pth,modeled_time_test,6.0,10,Brain,0.12604156136512756
fold6.pth,modeled_time_test,12.0,3,Brain,0.13366277515888214
fold6.pth,modeled_time_test,12.0,4,Brain,0.13381779193878174
fold6.pth,modeled_time_test,18.0,2,Brain,0.1375909000635147
fold6.pth,modeled_time_test,18.0,6,Brain,0.1372021734714508
fold6.pth,modeled_time_test,24.0,3,Brain,0.1250002533197403
fold6.pth,modeled_time_test,24.0,6,Brain,0.12500528991222382
fold6.pth,unseen_time_test,0.33333,1,Brain,0.12518440186977386
fold6.pth,unseen_time_test,0.33333,2,Brain,0.12511946260929108
fold6.pth,unseen_time_test,4.0,1,Brain,0.12604942917823792
fold6.pth,unseen_time_test,4.0,2,Brain,0.12511618435382843
fold6.pth,unseen_time_test,11.0,1,Brain,0.12531577050685883
fold6.pth,unseen_time_test,11.0,2,Brain,0.13688291609287262
fold6.pth,unseen_time_test,20.0,1,Brain,0.13623443245887756
fold6.pth,unseen_time_test,20.0,2,Brain,0.14293032884597778
fold7.pth,modeled_time_test,0.5,2,Brain,0.1428569108247757
fold7.pth,modeled_time_test,0.5,3,Brain,0.1428571343421936
fold7.pth,modeled_time_test,1.0,4,Brain,0.1428571194410324
fold7.pth,modeled_time_test,1.0,8,Brain,0.1428571194410324
fold7.pth,modeled_time_test,2.0,7,Brain,0.14285707473754883
fold7.pth,modeled_time_test,2.0,8,Brain,0.14284895360469818
fold7.pth,modeled_time_test,3.0,1,Brain,0.1428566575050354
fold7.pth,modeled_time_test,3.0,8,Brain,0.14285705983638763
fold7.pth,modeled_time_test,6.0,1,Brain,0.1428510546684265
fold7.pth,modeled_time_test,6.0,10,Brain,0.1428571194410324
fold7.pth,modeled_time_test,12.0,3,Brain,0.14285703003406525
fold7.pth,modeled_time_test,12.0,4,Brain,0.14285032451152802
fold7.pth,modeled_time_test,18.0,2,Brain,0.1428486555814743
fold7.pth,modeled_time_test,18.0,6,Brain,0.1428499072790146
fold7.pth,modeled_time_test,24.0,3,Brain,0.1428373157978058
fold7.pth,modeled_time_test,24.0,6,Brain,0.14284466207027435
fold7.pth,unseen_time_test,0.33333,1,Brain,0.14285705983638763
fold7.pth,unseen_time_test,0.33333,2,Brain,0.1428571194410324
fold7.pth,unseen_time_test,4.0,1,Brain,0.1428571194410324
fold7.pth,unseen_time_test,4.0,2,Brain,0.14285710453987122
fold7.pth,unseen_time_test,11.0,1,Brain,0.1428571343421936
fold7.pth,unseen_time_test,11.0,2,Brain,0.14285284280776978
fold7.pth,unseen_time_test,20.0,1,Brain,0.1428571194410324
fold7.pth,unseen_time_test,20.0,2,Brain,0.1250000149011612
fold8.pth,modeled_time_test,0.5,2,Brain,0.14284071326255798
fold8.pth,modeled_time_test,0.5,3,Brain,0.1420743763446808
fold8.pth,modeled_time_test,1.0,4,Brain,0.14246493577957153
fold8.pth,modeled_time_test,1.0,8,Brain,0.14285193383693695
fold8.pth,modeled_time_test,2.0,7,Brain,0.1427108198404312
fold8.pth,modeled_time_test,2.0,8,Brain,0.14257492125034332
fold8.pth,modeled_time_test,3.0,1,Brain,0.14273060858249664
fold8.pth,modeled_time_test,3.0,8,Brain,0.14177848398685455
fold8.pth,modeled_time_test,6.0,1,Brain,0.14285661280155182
fold8.pth,modeled_time_test,6.0,10,Brain,0.14211837947368622
fold8.pth,modeled_time_test,12.0,3,Brain,0.14276131987571716
fold8.pth,modeled_time_test,12.0,4,Brain,0.1425551027059555
fold8.pth,modeled_time_test,18.0,2,Brain,0.14256466925144196
fold8.pth,modeled_time_test,18.0,6,Brain,0.14254385232925415
fold8.pth,modeled_time_test,24.0,3,Brain,0.12500034272670746
fold8.pth,modeled_time_test,24.0,6,Brain,0.12500376999378204
fold8.pth,unseen_time_test,0.33333,1,Brain,0.1420217901468277
fold8.pth,unseen_time_test,0.33333,2,Brain,0.14169754087924957
fold8.pth,unseen_time_test,4.0,1,Brain,0.14234067499637604
fold8.pth,unseen_time_test,4.0,2,Brain,0.14160974323749542
fold8.pth,unseen_time_test,11.0,1,Brain,0.1422058343887329
fold8.pth,unseen_time_test,11.0,2,Brain,0.1426638811826706
fold8.pth,unseen_time_test,20.0,1,Brain,0.14222608506679535
fold8.pth,unseen_time_test,20.0,2,Brain,0.1250096708536148
fold9.pth,modeled_time_test,0.5,2,Brain,0.13547484576702118
fold9.pth,modeled_time_test,0.5,3,Brain,0.1306341588497162
fold9.pth,modeled_time_test,1.0,4,Brain,0.13607670366764069
fold9.pth,modeled_time_test,1.0,8,Brain,0.13554561138153076
fold9.pth,modeled_time_test,2.0,7,Brain,0.1425222009420395
fold9.pth,modeled_time_test,2.0,8,Brain,0.1428113728761673
fold9.pth,modeled_time_test,3.0,1,Brain,0.14267727732658386
fold9.pth,modeled_time_test,3.0,8,Brain,0.13819989562034607
fold9.pth,modeled_time_test,6.0,1,Brain,0.14222225546836853
fold9.pth,modeled_time_test,6.0,10,Brain,0.13411155343055725
