fold,variant,beta,strategy,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2,reserveorgan-8-R2,reserveorgan-8-RMSE,reserveorgan-8-MAE,reserveorgan-7-R2,reserveorgan-7-RMSE,reserveorgan-7-MAE,reserveorgan-6-R2,reserveorgan-6-RMSE,reserveorgan-6-MAE,reserveorgan-5-R2,reserveorgan-5-RMSE,reserveorgan-5-MAE,reserveorgan-4-R2,reserveorgan-4-RMSE,reserveorgan-4-MAE,reserveorgan-3-R2,reserveorgan-3-RMSE,reserveorgan-3-MAE,reserveorgan-2-R2,reserveorgan-2-RMSE,reserveorgan-2-MAE,reserveorgan-1-R2,reserveorgan-1-RMSE,reserveorgan-1-MAE,is_best_beta,best_beta,model_name
5,simple_avg,0.4,random_masking,0.6309702,0.2203812301158905,0.9941178560256958,1.3962858,0.8477398753166199,0.9711951613426208,2.9918440579355727,1.7608476877212524,0.8599913120269775,0.9103707671165466,2.3937909473871106,1.439592957496643,0.9085365533828735,2.418161313673373,1.4653725624084473,0.9031081795692444,2.4888857791328682,1.4862332344055176,0.8894867897033691,2.6580833839730396,1.6141371726989746,0.8890082836151123,2.663831773538337,1.5590800046920776,0.8643712401390076,2.9446747187972946,1.763756513595581,0.8482418656349182,3.1148522982780245,1.841167688369751,0.6668067574501038,4.61540216051337,2.9174423217773438,True,0.4,OSB-MHA-APA-MORM
6,simple_avg,0.4,random_masking,0.5316203,0.28465530276298523,0.99582439661026,1.8771132,1.1198090314865112,0.9479408264160156,2.878245139332695,1.6607261896133423,0.8704215884208679,0.8989432454109192,2.5418163213811114,1.4712094068527222,0.8994178175926208,2.535840710610314,1.482124924659729,0.8959988355636597,2.578579671821657,1.5020225048065186,0.8893277645111084,2.659994739441223,1.5155032873153687,0.8910767436027527,2.6388926043121774,1.439531922340393,0.8603991270065308,2.987483617506239,1.6354179382324219,0.8708615303039551,2.873355063188821,1.6815861463546753,0.7573477029800415,3.9387069547741094,2.5584137439727783,True,0.4,OSB-MHA-APA-MORM
7,simple_avg,0.4,random_masking,0.9777748,0.7007274627685547,0.9858748316764832,1.4101151,0.8375565409660339,0.9706217646598816,3.192608199589932,1.9400627613067627,0.8405706286430359,0.8758602738380432,2.8171943482513044,1.6402066946029663,0.8786984086036682,2.7848042269645332,1.6483385562896729,0.8772911429405212,2.8009116595990546,1.67753267288208,0.8520561456680298,3.0754585916593364,1.8207380771636963,0.862636923789978,2.9634425856793927,1.7986851930618286,0.8420716524124146,3.1775434984160595,2.007404088973999,0.8402624130249023,3.1956928651684864,1.9815025329589844,0.6956880688667297,4.410836288150384,2.9460930824279785,True,0.4,OSB-MHA-APA-MORM
8,simple_avg,0.4,random_masking,0.32283917,0.1884102076292038,0.9984601140022278,1.0164098,0.5948914885520935,0.9847365021705627,3.0323287774639858,1.7412030696868896,0.8561765551567078,0.8847764730453491,2.7141386365121454,1.533414363861084,0.8854389786720276,2.7063246296025643,1.536971926689148,0.8788670897483826,2.782867561322508,1.5894736051559448,0.8749852776527405,2.8271055122766757,1.567496418952942,0.8586421608924866,3.0062243740076093,1.6513152122497559,0.8503919839859009,3.0927074486763444,1.7669233083724976,0.8381986021995544,3.2162706029167576,1.9347875118255615,0.77811199426651,3.7664167276239477,2.349242687225342,True,0.4,OSB-MHA-APA-MORM
9,simple_avg,0.4,random_masking,0.6847442,0.2824191451072693,0.9930725693702698,2.2126162,1.2329425811767578,0.9276682734489441,3.165648413794675,1.8709825277328491,0.8432518243789673,0.8827211260795593,2.7382391084266167,1.6275728940963745,0.8845683932304382,2.7165885313378233,1.6212844848632812,0.8787866234779358,2.783791570194619,1.6556246280670166,0.8632725477218628,2.9565779264164753,1.7446398735046387,0.8637998104095459,2.950871813987427,1.6695983409881592,0.8398545980453491,3.199769733011942,1.9082502126693726,0.8536421656608582,3.0589295418522804,1.8259289264678955,0.6793696284294128,4.527555445937691,2.9149606227874756,True,0.4,OSB-MHA-APA-MORM
10,simple_avg,0.4,random_masking,0.5090986,0.22786137461662292,0.996170699596405,1.4386653,0.8726043701171875,0.9694200754165649,2.9650939916215795,1.7509888410568237,0.8624837398529053,0.9077033996582031,2.4291495067934745,1.4950940608978271,0.9075815081596375,2.4307534188765687,1.4948188066482544,0.8923877477645874,2.6229641603791123,1.593109130859375,0.8833259344100952,2.7311696475013445,1.6636888980865479,0.8819047212600708,2.747753265898142,1.6047488451004028,0.8458715677261353,3.1390828004278406,1.8831441402435303,0.8470772504806519,3.1267815661381446,1.8150006532669067,0.7340179085731506,4.123705574159425,2.458306312561035,True,0.4,OSB-MHA-APA-MORM
1,learned_weights,0.1,random_masking,0.66957885,0.3947989344596863,0.9933760166168213,1.5458813,0.9760788679122925,0.9646923542022705,2.946508352016987,1.7761108875274658,0.8642022609710693,0.9026293754577637,2.4950283206410266,1.4783871173858643,0.9038488268852234,2.479354872625462,1.5194203853607178,0.889686644077301,2.655678631534327,1.6035058498382568,0.8909673094749451,2.6402178568971655,1.5371228456497192,0.8803035020828247,2.7663187999417884,1.5910589694976807,0.8389590382575989,3.208703816478667,1.9196527004241943,0.8616398572921753,2.9741781301607944,1.9351489543914795,0.7455838918685913,4.033051081047557,2.6245906352996826,True,0.1,OSB-MHA-AWA-MORM
2,learned_weights,0.1,random_masking,0.2658165,0.19808229804039001,0.998956024646759,1.1099107,0.6446077823638916,0.9817991256713867,2.8925809274231025,1.696624994277954,0.8691275715827942,0.9160875678062439,2.3161924626985284,1.415969967842102,0.9150789976119995,2.330069836891955,1.4282989501953125,0.9065622091293335,2.4441212442857245,1.4980145692825317,0.8912926316261292,2.636276366245321,1.5967572927474976,0.9000493288040161,2.5278675415067866,1.5119107961654663,0.8493312001228333,3.103652518958116,1.7941073179244995,0.8614617586135864,2.97609148278678,1.7645121812820435,0.7131569385528564,4.282364748874998,2.563429832458496,True,0.1,OSB-MHA-AWA-MORM
3,learned_weights,0.1,random_masking,0.84838367,0.4735739231109619,0.9893658757209778,1.4381,0.6505298018455505,0.9694440960884094,2.722028575116584,1.653771996498108,0.8841055631637573,0.925203800201416,2.1867604776743956,1.3602166175842285,0.9229649901390076,2.2192462849656276,1.397815465927124,0.9116093516349792,2.377194043678654,1.4538371562957764,0.9127774238586426,2.3614348457648027,1.4416345357894897,0.8956224322319031,2.5832415123485077,1.5148237943649292,0.8788589239120483,2.7829612867792752,1.6759883165359497,0.8714107275009155,2.86723855620201,1.7763482332229614,0.7543971538543701,3.962581015158779,2.609511375427246,True,0.1,OSB-MHA-AWA-MORM
4,learned_weights,0.1,random_masking,0.80091375,0.38890737295150757,0.9905226230621338,1.4390374,0.6964535713195801,0.9694042801856995,2.887525556707197,1.6714513301849365,0.8695846199989319,0.8873031139373779,2.6842153126444623,1.4660972356796265,0.8873562812805176,2.683582200382261,1.5030479431152344,0.8804835081100464,2.764237912716296,1.5606979131698608,0.8861221075057983,2.6982435129102336,1.5344007015228271,0.8812493681907654,2.7553669836354024,1.5575364828109741,0.8747228384017944,2.830071216940758,1.6618733406066895,0.8799640536308289,2.7702380140761496,1.7160123586654663,0.7794756889343262,3.7548246500696933,2.3719451427459717,True,0.1,OSB-MHA-AWA-MORM
